ue_ip fteid tun_ip_gw tun_ip_enb
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.10.30 2214407022 192.168.20.10 192.168.20.14
172.0.0.30 1236803700 192.168.20.10 192.168.20.12
172.0.0.30 1278297805 192.168.20.10 192.168.20.12
172.0.10.30 798736952 192.168.20.10 192.168.20.14
172.0.0.30 1895876264 192.168.20.10 192.168.20.12
172.0.10.30 411800902 192.168.20.10 192.168.20.14
172.0.0.30 1643646018 192.168.20.10 192.168.20.12
172.0.10.30 2752867527 192.168.20.10 192.168.20.14
172.0.0.30 1794814209 192.168.20.10 192.168.20.12
172.0.10.30 1796052019 192.168.20.10 192.168.20.14
172.0.0.30 2391539892 192.168.20.10 192.168.20.12
172.0.10.30 3472727606 192.168.20.10 192.168.20.14
172.0.0.30 1773443815 192.168.20.10 192.168.20.12
172.0.10.30 1810689984 192.168.20.10 192.168.20.14
172.0.0.30 1384032349 192.168.20.10 192.168.20.12
172.0.10.30 2505894617 192.168.20.10 192.168.20.14
172.0.0.30 1750523430 192.168.20.10 192.168.20.12
172.0.10.30 2863349031 192.168.20.10 192.168.20.14
172.0.0.30 2220165374 192.168.20.10 192.168.20.12
172.0.10.30 2262956382 192.168.20.10 192.168.20.14
172.0.0.30 3339238509 192.168.20.10 192.168.20.12
172.0.10.30 3381644698 192.168.20.10 192.168.20.14
172.0.0.30 3695175478 192.168.20.10 192.168.20.12
172.0.10.30 2688103030 192.168.20.10 192.168.20.14
172.0.0.30 2390717735 192.168.20.10 192.168.20.12
172.0.10.30 824981387 192.168.20.10 192.168.20.14
172.0.0.30 2737074775 192.168.20.10 192.168.20.12
172.0.10.30 1678758342 192.168.20.10 192.168.20.14
172.0.0.30 2264962274 192.168.20.10 192.168.20.12
172.0.10.30 1215392545 192.168.20.10 192.168.20.14
172.0.0.30 898479674 192.168.20.10 192.168.20.12
172.0.10.30 949648664 192.168.20.10 192.168.20.14
172.0.10.30 3693678863 192.168.20.10 192.168.20.14
172.0.0.30 1061613873 192.168.20.10 192.168.20.12
172.0.0.30 579759115 192.168.20.10 192.168.20.12
172.0.10.30 2217977466 192.168.20.10 192.168.20.14
172.0.0.30 2634297813 192.168.20.10 192.168.20.12
172.0.10.30 1049248184 192.168.20.10 192.168.20.14
172.0.0.30 1943850185 192.168.20.10 192.168.20.12
172.0.10.30 1948163707 192.168.20.10 192.168.20.14
172.0.0.30 2843444017 192.168.20.10 192.168.20.12
172.0.10.30 1790172581 192.168.20.10 192.168.20.14
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.10.30 2256689425 192.168.20.10 192.168.20.14
172.0.10.30 1340883395 192.168.20.10 192.168.20.14
172.0.10.30 2719070619 192.168.20.10 192.168.20.14
172.0.10.30 3211673137 192.168.20.10 192.168.20.14
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
172.0.0.30 4587523 192.168.20.10 192.168.20.12
